Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS1,R2,20000,0,7,True,0,1e-06,2 - 5
TS1,R2_Adj,20000,0,7,True,0,1e-06,2 - 5
TS1,AIC,20000,0,7,True,0,1e-06,2 - 5
TS1,BIC,20000,0,7,True,0,1e-06,2 - 5
TS2,R2,0,0,3,False,0,1e-06,2 - 1
TS2,R2_Adj,0,0,3,False,0,1e-06,2 - 1
TS2,AIC,0,0,3,False,0,1e-06,2 - 1
TS2,BIC,0,0,3,False,0,1e-06,2 - 1
TS3,R2,20000,0,7,False,0,1e-06,2 - 6
TS3,R2_Adj,20000,0,7,False,0,1e-06,2 - 6
TS3,AIC,20000,0,7,False,0,1e-06,2 - 6
TS3,BIC,20000,0,7,False,0,1e-06,2 - 6
TS4,R2,10000,0,7,False,2,1e-06,2 - 4
TS4,R2_Adj,10000,0,7,False,2,1e-06,2 - 4
TS4,AIC,10000,0,7,False,2,1e-06,2 - 4
TS4,BIC,10000,0,7,False,2,1e-06,2 - 4
TS5,R2,10000,0,7,True,0,1e-06,2 - 6
TS5,R2_Adj,10000,0,7,True,0,1e-06,2 - 6
TS5,AIC,10000,0,7,True,0,1e-06,2 - 6
TS5,BIC,10000,0,7,True,0,1e-06,2 - 6
