Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,50000,True,10,2 + 5
TS1,R2_Adj,10,50000,True,10,2 + 5
TS1,AIC,10,50000,True,10,2 + 5
TS1,BIC,10,50000,True,10,2 + 5
TS2,R2,10,50000,True,10,2 + 1
TS2,R2_Adj,10,50000,True,10,2 + 1
TS2,AIC,10,50000,True,10,2 + 1
TS2,BIC,10,50000,True,10,2 + 1
TS3,R2,10,50000,True,10,2 + 2
TS3,R2_Adj,10,50000,True,10,2 + 2
TS3,AIC,10,50000,True,10,2 + 2
TS3,BIC,10,50000,True,10,2 + 2
TS4,R2,10,50000,True,10,2 + 3
TS4,R2_Adj,10,50000,True,10,2 + 3
TS4,AIC,10,50000,True,10,2 + 3
TS4,BIC,10,50000,True,10,2 + 3
TS5,R2,10,50000,True,10,2 + 3
TS5,R2_Adj,10,50000,True,10,2 + 3
TS5,AIC,10,50000,True,10,2 + 3
TS5,BIC,10,50000,True,10,2 + 3
TS6,R2,10,50000,True,10,2 + 5
TS6,R2_Adj,10,50000,True,10,2 + 5
TS6,AIC,10,50000,True,10,2 + 5
TS6,BIC,10,50000,True,10,2 + 5
TS7,R2,10,50000,True,10,2 + 6
TS7,R2_Adj,10,50000,True,10,2 + 6
TS7,AIC,10,50000,True,10,2 + 6
TS7,BIC,10,50000,True,10,2 + 6
